Unique ID,Inventory line,Size,Quantity
fieldQuantityInfo1,inventoryLine1,size1,5
fieldQuantityInfo2,inventoryLine1,size2,7
fieldQuantityInfo3,inventoryLine1,size3,10
fieldQuantityInfo4,inventoryLine2,size1,1
fieldQuantityInfo5,inventoryLine3,size2,3
fieldQuantityInfo6,inventoryLine4,size3,5
fieldQuantityInfo7,inventoryLine5,size1,5
fieldQuantityInfo8,inventoryLine6,size2,7
fieldQuantityInfo9,inventoryLine7,size3,10
fieldQuantityInfo10,inventoryLine8,size1,1
fieldQuantityInfo11,inventoryLine9,size2,3
fieldQuantityInfo12,inventoryLine10,size3,5
fieldQuantityInfo13,inventoryLine11,size1,5
fieldQuantityInfo14,inventoryLine12,size2,7
fieldQuantityInfo15,inventoryLine13,size3,10
fieldQuantityInfo16,inventoryLine14,size1,1
fieldQuantityInfo17,inventoryLine3,size2,3
fieldQuantityInfo18,inventoryLine4,size3,5
fieldQuantityInfo19,inventoryLine5,size1,5
fieldQuantityInfo20,inventoryLine6,size2,7
fieldQuantityInfo21,inventoryLine7,size3,10
fieldQuantityInfo22,inventoryLine8,size1,1
fieldQuantityInfo23,inventoryLine9,size2,3
fieldQuantityInfo24,inventoryLine3,size3,5
fieldQuantityInfo25,inventoryLine4,size1,5
fieldQuantityInfo26,inventoryLine5,size2,7
fieldQuantityInfo27,inventoryLine6,size3,10
fieldQuantityInfo28,inventoryLine7,size1,1
fieldQuantityInfo29,inventoryLine8,size2,3
