Unique ID,Title,Address,City,State,Country
address1,Middlesex,"81 Middlesex Street",London,,US
address2,306th, "306 W. 38th Street 7th Floor",NY,NY,US
address3,Louisiana, "3101 Louisiana St.",Houston,CO,US
address4,Middlesex,"81 Middlesex Street",London,,US
address5,306th, "306 W. 38th Street 7th Floor",NY,NY,US
address6,Louisiana, "3101 Louisiana St.",Houston,CO,US
address7,Middlesex,"81 Middlesex Street",London,,US
address8,306th, "306 W. 38th Street 7th Floor",NY,NY,US
address9,Louisiana, "3101 Louisiana St.",Houston,CO,US
address10,Middlesex,"81 Middlesex Street",London,,US
address11,306th, "306 W. 38th Street 7th Floor",NY,NY,US
address12,Louisiana, "3101 Louisiana St.",Houston,CO,US
address13,Middlesex,"81 Middlesex Street",London,,US
