Unique ID,Title,Item,Images
itemInstance1,Lines v-neck shirt,item1,itemInstance1.0.jpg
itemInstance2,Black v-neck shirt,item1,itemInstance2.0.jpg
itemInstance3,Grey v-neck shirt,item1,itemInstance5.0.jpg
itemInstance4,Pink Vest dress,item2,itemInstance4.0.jpg; itemInstance4.1.jpg
itemInstance5,Salmon Vest dress,item2,itemInstance5.jpg
itemInstance6,Peach Vest dress,item2,itemInstance6.jpg
itemInstance7,White Open sleeves shirt,item3,itemInstance7.0.jpg; itemInstance7.1.jpg
itemInstance8,Lines Open sleeves shirt,item3,itemInstance8.0.jpg
itemInstance9,Cotton Open sleeves shirt,item3,itemInstance9.0.jpg
itemInstance10,Black Pearls Epaulets shirt,item4,itemInstance10.0.jpg; itemInstance10.1.jpg
itemInstance11,Printed Pearls Epaulets shirt,item4,itemInstance11.0.jpg
itemInstance12,White Pearls Epaulets shirt,item4,itemInstance12.0.jpg
itemInstance13,White mini dress,item5,itemInstance13.0.jpg; itemInstance13.1.jpg
itemInstance14,Grey mini dress,item5,itemInstance14.0.jpg
itemInstance15,Black mini dress,item5,itemInstance15.0.jpg
